year,observations,mean_price_nzd_mwh,solar_capture_rate,seasonal_capture_rate,intraday_capture_points,flat_capture_rate,load_capture_rate,load_seasonal_capture_rate,load_intraday_capture_points
2019,17520,115.5736478311,1.103450764,1.0020733253,0.1013774388,1.0,1.0285150371,1.0048719201,0.023643117
2020,17568,103.3158077186,0.9790955995,0.9357717812,0.0433238183,1.0,1.0796242888,1.044927652,0.0346966368
2021,17520,171.164875,0.9148656807,0.9068432957,0.008022385,1.0,1.0553720643,1.027403028,0.0279690363
2022,17520,116.4482996575,0.9700043224,0.9185074488,0.0514968735,1.0,1.0529104942,1.0229363711,0.0299741231
2023,17520,119.1146940639,1.045181765,1.0593415255,-0.0141597605,1.0,1.0212416569,0.9931582962,0.0280833607
2024,17568,208.9276479964,0.8252837722,0.8233537427,0.0019300294,1.0,1.1418633925,1.1202044023,0.0216589901
2025,17472,157.1918830128,0.92159161,0.9388885755,-0.0172969655,1.0,1.0217310175,1.0066857119,0.0150453056
