crop,landuse,osm_id,area_ha,width_core_pass,site_id,transmission_110kv_plus_m,transmission_110kv_plus_rank,subtransmission_33_66kv_m,subtransmission_33_66kv_rank,distribution_22kv_m,distribution_22kv_rank,road_m,road_rank,transmission_110kv_plus_road_rank_shift,subtransmission_33_66kv_road_rank_shift,distribution_22kv_road_rank_shift,subtransmission_33_66kv_transmission_110kv_plus_rank_shift,S06_verify_grid
,meadow,1004170260,61.0,True,OSM-1004170260,4074.0,1056,1310.9,1026,501.3,2087,5.5,221,835,805,1866,30,False
,meadow,1004170261,20.4,True,OSM-1004170261,4388.2,1101,2553.8,1461,19.9,1460,9.6,1011,90,450,449,360,False
,farmland,1011330439,139.8,True,OSM-1011330439,9818.0,1746,4155.2,1854,0.0,1,0.0,1,1745,1853,0,108,False
,farmland,1011330440,33.5,True,OSM-1011330440,9562.5,1728,5289.0,2023,13.7,1185,5.6,232,1496,1791,953,295,True
,farmland,1026364179,65.9,True,OSM-1026364179,3442.4,949,271.7,539,3084.6,2350,0.0,1,948,538,2349,410,False
,meadow,1038396674,428.1,True,OSM-1038396674,11910.7,1938,2.3,158,1.4,646,7.6,494,1444,336,152,1780,False
,meadow,1038396675,763.5,True,OSM-1038396675,13370.0,2029,2.5,166,13.9,1190,13.5,1695,334,1529,505,1863,False
,meadow,1038396676,116.2,True,OSM-1038396676,14498.9,2092,0.0,1,2.7,839,6.0,268,1824,267,571,2091,False
,meadow,1038396678,275.0,True,OSM-1038396678,15060.0,2122,0.0,1,0.0,1,7.6,494,1628,493,493,2121,False
,meadow,1038590201,275.2,True,OSM-1038590201,15640.1,2150,32.9,470,0.2,509,6.9,379,1771,91,130,1680,False
,meadow,1038590202,496.6,True,OSM-1038590202,17558.4,2193,0.0,1,2.3,789,5.2,201,1992,200,588,2192,False
,meadow,1038590203,496.9,True,OSM-1038590203,17567.5,2195,15.0,312,0.0,1,7.4,459,1736,147,458,1883,False
,meadow,1038590219,228.6,True,OSM-1038590219,19726.1,2225,0.0,1,0.0,1,7.7,517,1708,516,516,2224,False
,orchard,1045539444,25.7,True,OSM-1045539444,660.2,311,25.0,457,101.0,1727,18.5,1810,1499,1353,83,146,False
,farmland,1047289952,21.8,True,OSM-1047289952,9112.8,1683,4024.3,1839,2951.9,2348,8.9,802,881,1037,1546,156,False
,farmland,1047292074,50.7,True,OSM-1047292074,10790.7,1847,5945.8,2106,805.9,2240,2.1,62,1785,2044,2178,259,True
,farmland,1051845712,60.6,True,OSM-1051845712,5779.4,1335,1530.6,1103,3123.5,2351,4.7,170,1165,933,2181,232,False
,meadow,1052151517,32.7,True,OSM-1052151517,13380.6,2030,3817.1,1787,0.9,594,7.6,494,1536,1293,100,243,False
,meadow,1052235339,28.5,True,OSM-1052235339,146.6,192,21.3,442,597.3,2150,7.6,494,302,52,1656,250,False
,meadow,1052235340,25.0,True,OSM-1052235340,0.0,1,0.0,1,134.7,1782,6.5,327,326,326,1455,0,False
,meadow,1053495388,303.1,True,OSM-1053495388,948.8,375,1584.3,1135,0.0,1,7.7,517,142,618,516,760,False
,meadow,1053495390,162.3,True,OSM-1053495390,2166.8,651,2747.8,1516,0.0,1,11.5,1488,837,28,1487,865,False
,meadow,1053495391,65.8,True,OSM-1053495391,3142.9,882,3905.0,1807,9.6,1125,9.1,863,19,944,262,925,False
,meadow,1064479324,85.4,True,OSM-1064479324,4232.4,1077,3.9,219,43.8,1625,5.9,261,816,42,1364,858,False
,meadow,1064479330,982.1,True,OSM-1064479330,4686.7,1148,7.7,278,0.0,1,0.0,1,1147,277,0,870,False
,meadow,1067188318,120.1,True,OSM-1067188318,2272.3,673,0.0,1,347.4,1974,9.0,835,162,834,1139,672,False
,meadow,1067188319,62.9,True,OSM-1067188319,2655.5,767,0.0,1,0.0,1,9.8,1071,304,1070,1070,766,False
,meadow,1067188320,29.7,True,OSM-1067188320,3766.8,1004,989.2,889,925.2,2271,10.4,1241,237,352,1030,115,False
,meadow,1067188321,92.3,True,OSM-1067188321,3011.8,853,1308.0,1023,556.4,2127,11.0,1387,534,364,740,170,False
,meadow,1067189446,24.9,True,OSM-1067189446,3648.0,988,724.3,765,797.6,2236,9.6,1011,23,246,1225,223,False
,meadow,1067189447,65.3,True,OSM-1067189447,2420.9,702,0.0,1,0.9,594,8.8,769,67,768,175,701,False
,meadow,1067655258,58.8,True,OSM-1067655258,618.4,298,1334.3,1040,0.0,1,7.7,517,219,523,516,742,False
,meadow,1071036374,27.3,True,OSM-1071036374,12588.1,1987,3163.7,1630,1.8,709,8.2,634,1353,996,75,357,False
,meadow,1072264199,59.8,True,OSM-1072264199,13590.4,2042,4406.2,1895,2.5,823,8.1,608,1434,1287,215,147,False
,farmland,1073027098,127.0,True,OSM-1073027098,1159.4,427,0.0,1,0.0,1,7.0,395,32,394,394,426,False
,meadow,1073027120,54.3,True,OSM-1073027120,1862.9,587,525.6,644,2.3,789,9.8,1071,484,427,282,57,False
,meadow,1075230601,33.6,True,OSM-1075230601,13495.2,2038,1151.2,956,68.6,1674,170.8,1954,84,998,280,1082,False
,meadow,1075230602,55.0,True,OSM-1075230602,14346.6,2082,1371.2,1045,0.0,1,3.6,109,1973,936,108,1037,False
,meadow,1075230603,24.5,True,OSM-1075230603,14339.3,2081,1674.4,1175,48.2,1637,562.7,2183,102,1008,546,906,False
,meadow,1075230614,76.6,True,OSM-1075230614,14524.2,2095,473.0,623,112.4,1748,6.8,367,1728,256,1381,1472,False
,meadow,1075230616,61.0,True,OSM-1075230616,13568.5,2041,55.6,480,202.9,1851,10.9,1370,671,890,481,1561,False
,meadow,1075231086,55.1,True,OSM-1075231086,12727.1,1996,26.5,458,0.0,1,7.9,553,1443,95,552,1538,False
,meadow,1078445993,158.0,True,OSM-1078445993,9309.5,1702,696.6,748,0.0,1,9.7,1039,663,291,1038,954,False
,meadow,1083748691,21.6,True,OSM-1083748691,261.8,227,2.2,154,20.3,1477,9.7,1039,812,885,438,73,False
,meadow,1083748696,48.3,True,OSM-1083748696,0.0,1,2.4,164,21.8,1526,9.3,926,925,762,600,163,False
,meadow,1084210490,58.3,True,OSM-1084210490,1547.9,516,1837.6,1222,16.0,1240,7.4,459,57,763,781,706,False
,meadow,1084210491,122.0,True,OSM-1084210491,522.7,279,2005.7,1294,17.1,1290,9.8,1071,792,223,219,1015,False
,meadow,1084210505,49.6,True,OSM-1084210505,937.4,372,1383.5,1048,0.5,545,7.0,395,23,653,150,676,False
,meadow,1084210510,70.4,True,OSM-1084210510,0.0,1,19.0,404,0.0,1,7.5,475,474,71,474,403,False
,meadow,1085580029,20.8,True,OSM-1085580029,0.0,1,1164.7,965,17.5,1320,4.0,129,128,836,1191,964,False
,meadow,1085580031,29.4,True,OSM-1085580031,0.0,1,626.2,709,0.9,594,6.0,268,267,441,326,708,False
,meadow,1085788941,37.4,True,OSM-1085788941,1505.7,508,523.0,643,0.0,1,11.3,1447,939,804,1446,135,False
,meadow,1085788946,82.7,True,OSM-1085788946,2240.5,661,17.0,347,1.0,607,8.8,769,108,422,162,314,False
,meadow,1085788947,24.3,True,OSM-1085788947,2167.3,652,16.5,336,0.0,1,8.1,608,44,272,607,316,False
,farmland,1093258403,179.4,True,OSM-1093258403,1939.6,606,0.0,1,3.2,889,9.8,1071,465,1070,182,605,False
,meadow,1093959719,104.1,True,OSM-1093959719,3675.1,994,1129.5,939,4.9,1016,11.2,1428,434,489,412,55,False
,meadow,1093959720,96.0,True,OSM-1093959720,3745.5,1002,446.2,608,0.5,545,8.6,716,286,108,171,394,False
,meadow,1093959721,39.5,True,OSM-1093959721,3830.3,1017,12.0,292,6.8,1077,11.7,1519,502,1227,442,725,False
,meadow,1093959723,32.4,True,OSM-1093959723,2770.1,792,0.0,1,272.6,1915,7.9,553,239,552,1362,791,False
,meadow,1093959724,156.9,True,OSM-1093959724,2588.4,756,266.7,537,0.0,1,10.7,1319,563,782,1318,219,False
,meadow,1093959731,20.9,True,OSM-1093959731,3961.9,1038,516.5,639,175.2,1824,8.7,747,291,108,1077,399,False
,meadow,1093959734,44.2,True,OSM-1093959734,2721.5,781,0.9,108,0.0,1,6.9,379,402,271,378,673,False
,meadow,1093959735,33.2,True,OSM-1093959735,2907.4,832,576.8,674,9.7,1127,5.9,261,571,413,866,158,False
,meadow,1093992747,193.8,True,OSM-1093992747,287.9,232,17.1,349,0.0,1,8.8,769,537,420,768,117,False
,meadow,1093992748,125.5,True,OSM-1093992748,1314.0,463,15.9,319,2.8,852,5.5,221,242,98,631,144,False
,meadow,1093992749,111.3,True,OSM-1093992749,0.0,1,552.5,654,45.7,1631,544.3,2174,2173,1520,543,653,False
,meadow,1093992750,130.3,True,OSM-1093992750,0.0,1,15.9,319,1.7,698,8.0,584,583,265,114,318,False
,meadow,1093992751,24.3,True,OSM-1093992751,0.0,1,16.9,345,0.0,1,8.7,747,746,402,746,344,False
,meadow,1093992752,116.8,True,OSM-1093992752,0.0,1,1000.6,893,19.6,1440,14.9,1755,1754,862,315,892,False
,meadow,1093992753,29.7,True,OSM-1093992753,233.3,218,1933.7,1271,694.4,2194,701.9,2263,2045,992,69,1053,False
,meadow,1093992754,83.3,True,OSM-1093992754,0.0,1,1145.7,950,288.0,1929,623.9,2215,2214,1265,286,949,False
,meadow,1093992755,146.2,True,OSM-1093992755,0.0,1,600.3,685,0.0,1,14.9,1755,1754,1070,1754,684,False
,meadow,1093992756,24.6,True,OSM-1093992756,1116.1,413,317.4,554,0.0,1,10.4,1241,828,687,1240,141,False
,meadow,1093992757,93.5,True,OSM-1093992757,10.8,161,15.7,316,6.9,1079,8.8,769,608,453,310,155,False
,meadow,1093992758,30.4,True,OSM-1093992758,0.0,1,827.8,815,0.0,1,9.3,926,925,111,925,814,False
,meadow,1093992759,175.5,True,OSM-1093992759,0.0,1,16.0,321,0.0,1,8.8,769,768,448,768,320,False
,meadow,1094103138,45.2,True,OSM-1094103138,1842.7,581,0.5,95,0.0,1,6.2,288,293,193,287,486,False
,meadow,1094103139,48.1,True,OSM-1094103139,1116.2,414,5.8,260,7.5,1090,13.1,1662,1248,1402,572,154,False
,meadow,1094103141,235.3,True,OSM-1094103141,440.4,259,0.0,1,3.3,896,7.2,434,175,433,462,258,False
,meadow,1094103142,26.0,True,OSM-1094103142,794.4,339,638.4,717,3.3,896,11.5,1488,1149,771,592,378,False
,meadow,1094103144,98.7,True,OSM-1094103144,1933.5,605,18.2,377,15.3,1219,9.5,985,380,608,234,228,False
,meadow,1094103145,212.5,True,OSM-1094103145,2335.3,685,0.0,1,0.0,1,7.9,553,132,552,552,684,False
,meadow,1094103146,131.5,True,OSM-1094103146,3871.2,1023,0.7,98,23.4,1561,8.9,802,221,704,759,925,False
,meadow,1094103147,279.1,True,OSM-1094103147,2674.9,771,3.1,190,0.0,1,10.4,1241,470,1051,1240,581,False
,meadow,1094103148,155.5,True,OSM-1094103148,4034.8,1051,4.3,229,1.9,727,9.8,1071,20,842,344,822,False
,meadow,1094103152,28.0,True,OSM-1094103152,4964.3,1194,412.3,597,395.5,2013,157.9,1946,752,1349,67,597,False
,meadow,1094103153,76.4,True,OSM-1094103153,4364.8,1097,230.9,528,214.1,1865,223.7,1990,893,1462,125,569,False
,meadow,1094103154,68.7,True,OSM-1094103154,4762.7,1161,593.9,682,564.4,2131,119.8,1921,760,1239,210,479,False
,meadow,1094103155,21.7,True,OSM-1094103155,5690.8,1323,623.0,705,525.8,2104,12.7,1635,312,930,469,618,False
,meadow,1094111826,200.0,True,OSM-1094111826,5751.0,1329,321.6,556,17.0,1284,10.0,1124,205,568,160,773,False
,meadow,1094111832,21.6,True,OSM-1094111832,6009.2,1380,157.4,510,4.4,983,11.0,1387,7,877,404,870,False
,meadow,1094111833,200.3,True,OSM-1094111833,5353.7,1267,19.1,405,6.7,1073,11.2,1428,161,1023,355,862,False
,meadow,1094111834,53.9,True,OSM-1094111834,5120.7,1223,26.9,460,3.5,918,11.8,1537,314,1077,619,763,False
,meadow,1094111835,114.7,True,OSM-1094111835,4008.1,1046,684.8,742,1.7,698,10.2,1180,134,438,482,304,False
,meadow,1094111836,36.6,True,OSM-1094111836,3936.6,1034,1153.0,958,8.7,1109,10.0,1124,90,166,15,76,False
,meadow,1094111837,44.1,True,OSM-1094111837,3454.6,954,1072.4,920,264.0,1905,602.8,2206,1252,1286,301,34,False
,meadow,1094111838,49.7,True,OSM-1094111838,3170.5,889,1705.6,1184,18.6,1392,10.5,1273,384,89,119,295,False
,meadow,1094111839,348.0,True,OSM-1094111839,1222.7,438,1635.5,1161,14.7,1207,6.6,339,99,822,868,723,False
,meadow,1094112700,556.9,True,OSM-1094112700,1321.6,464,3.1,190,1.4,646,3.5,103,361,87,543,274,False
,meadow,1094112702,25.5,True,OSM-1094112702,1342.5,471,120.1,497,13.7,1185,6.3,305,166,192,880,26,False
,meadow,1094112704,155.1,True,OSM-1094112704,0.0,1,18.1,372,19.4,1429,9.7,1039,1038,667,390,371,False
,meadow,1094113431,51.3,True,OSM-1094113431,0.0,1,1.5,129,5.2,1029,8.5,693,692,564,336,128,False
,meadow,1094113432,74.3,True,OSM-1094113432,268.9,228,486.3,630,0.0,1,10.4,1241,1013,611,1240,402,False
,meadow,1094113433,40.9,True,OSM-1094113433,493.9,274,590.4,681,10.2,1133,410.1,2099,1825,1418,966,407,False
,meadow,1094113434,64.9,True,OSM-1094113434,67.0,173,1.3,122,19.6,1440,8.3,663,490,541,777,51,False
,meadow,1094113435,407.7,True,OSM-1094113435,767.7,333,21.0,439,20.6,1485,10.3,1215,882,776,270,106,False
,meadow,1094113436,238.7,True,OSM-1094113436,990.3,386,8.2,281,0.0,1,10.5,1273,887,992,1272,105,False
,meadow,1094113438,39.1,True,OSM-1094113438,961.3,376,630.2,712,0.4,532,9.7,1039,663,327,507,336,False
,meadow,1094115794,51.7,True,OSM-1094115794,3292.2,912,0.0,1,56.3,1648,6.3,305,607,304,1343,911,False
,meadow,1094115795,412.8,True,OSM-1094115795,3207.9,895,0.0,1,19.2,1420,8.5,693,202,692,727,894,False
,meadow,1094115797,196.4,True,OSM-1094115797,1627.4,535,0.0,1,0.0,1,6.5,327,208,326,326,534,False
,meadow,1094115798,303.5,True,OSM-1094115798,445.1,261,1.3,122,0.0,1,5.6,232,29,110,231,139,False
,meadow,1094115799,40.2,True,OSM-1094115799,230.8,216,1.0,112,0.0,1,7.3,443,227,331,442,104,False
,meadow,1094118933,33.5,True,OSM-1094118933,1420.9,491,5294.7,2026,0.0,1,6.4,315,176,1711,314,1535,True
,meadow,1094118935,130.1,True,OSM-1094118935,420.9,257,5330.0,2030,206.4,1857,8.6,716,459,1314,1141,1773,True
,meadow,1094118937,91.1,True,OSM-1094118937,2368.1,694,3959.1,1821,17.2,1302,9.5,985,291,836,317,1127,False
,meadow,1094118938,196.7,True,OSM-1094118938,3358.2,924,2123.2,1331,1.4,646,11.9,1542,618,211,896,407,False
,meadow,1094131997,95.3,True,OSM-1094131997,3589.2,975,3315.2,1674,18.1,1356,9.9,1099,124,575,257,699,False
,meadow,1094131998,133.4,True,OSM-1094131998,4289.1,1087,2249.7,1363,1.1,615,7.4,459,628,904,156,276,False
,meadow,1094131999,122.6,True,OSM-1094131999,4909.0,1189,2319.5,1384,0.9,594,9.7,1039,150,345,445,195,False
,meadow,1094132000,69.5,True,OSM-1094132000,5766.4,1333,1008.0,895,0.0,1,4.6,164,1169,731,163,438,False
,meadow,1094132001,37.8,True,OSM-1094132001,5546.5,1300,1614.3,1152,17.7,1334,8.0,584,716,568,750,148,False
,meadow,1094132002,244.3,True,OSM-1094132002,4905.0,1188,165.9,512,0.0,1,8.9,802,386,290,801,676,False
,meadow,1094132006,64.7,True,OSM-1094132006,6408.8,1432,867.1,836,0.0,1,8.8,769,663,67,768,596,False
,meadow,1094147394,50.8,True,OSM-1094147394,6155.1,1401,1912.9,1265,0.0,1,10.5,1273,128,8,1272,136,False
,farmland,1094147395,132.1,True,OSM-1094147395,5876.1,1357,1071.3,919,1.6,682,8.9,802,555,117,120,438,False
,meadow,1094147396,125.6,True,OSM-1094147396,5896.8,1361,311.3,552,0.0,1,9.3,926,435,374,925,809,False
,meadow,1094147397,49.4,True,OSM-1094147397,5548.2,1301,851.4,832,750.5,2219,3.8,119,1182,713,2100,469,False
,meadow,1094147400,56.8,True,OSM-1094147400,4143.1,1065,2275.8,1378,18.6,1392,8.6,716,349,662,676,313,False
,meadow,1094224825,28.8,True,OSM-1094224825,9501.4,1725,6343.1,2144,833.5,2247,9.9,1099,626,1045,1148,419,True
,meadow,1094224826,20.4,True,OSM-1094224826,9383.3,1712,6211.7,2136,574.5,2135,7.5,475,1237,1661,1660,424,True
,meadow,1094224829,37.2,True,OSM-1094224829,9610.3,1734,6402.4,2148,17.6,1329,15.1,1765,31,383,436,414,True
,meadow,1094224831,41.4,True,OSM-1094224831,8865.5,1660,5706.7,2077,743.6,2217,4.5,155,1505,1922,2062,417,True
,meadow,1094224840,28.8,True,OSM-1094224840,8201.9,1598,5042.3,1987,740.6,2215,4.5,155,1443,1832,2060,389,True
,meadow,1094224841,103.6,True,OSM-1094224841,9141.2,1689,5952.3,2107,90.7,1707,6.0,268,1421,1839,1439,418,True
,meadow,1094224849,41.2,True,OSM-1094224849,10179.1,1780,6984.7,2192,1090.3,2300,527.1,2164,384,28,136,412,True
,meadow,1094224853,60.7,True,OSM-1094224853,10350.0,1798,7091.7,2202,705.1,2201,1259.8,2332,534,130,131,404,True
,meadow,1094224854,43.9,True,OSM-1094224854,10277.1,1789,7034.9,2197,696.2,2195,1273.5,2335,546,138,140,408,True
,meadow,1094224855,138.8,True,OSM-1094224855,8966.8,1670,5732.2,2079,5.3,1033,8.5,693,977,1386,340,409,True
,meadow,1094224856,67.3,True,OSM-1094224856,8919.6,1665,5695.1,2076,14.8,1209,6.7,355,1310,1721,854,411,True
,meadow,1094224857,94.0,True,OSM-1094224857,9093.4,1678,5830.1,2095,0.9,594,7.1,411,1267,1684,183,417,True
,meadow,1094224858,406.2,True,OSM-1094224858,9193.3,1692,5909.0,2102,14.4,1200,5.4,217,1475,1885,983,410,True
,meadow,1094224863,69.2,True,OSM-1094224863,11372.5,1899,8034.8,2247,23.8,1563,5.0,189,1710,2058,1374,348,True
,meadow,1094224864,41.3,True,OSM-1094224864,11651.0,1921,8095.4,2250,886.7,2260,981.1,2313,392,63,53,329,True
,meadow,1094224865,130.2,True,OSM-1094224865,10028.0,1766,6630.4,2164,15.5,1228,4.8,174,1592,1990,1054,398,True
,meadow,1094224866,90.5,True,OSM-1094224866,9834.0,1749,6489.7,2154,3.7,933,10.7,1319,430,835,386,405,True
,meadow,1094224867,32.3,True,OSM-1094224867,11525.1,1911,7794.4,2238,572.0,2134,956.9,2312,401,74,178,327,True
,meadow,1094224868,41.5,True,OSM-1094224868,10612.0,1820,6840.3,2182,22.0,1534,13.7,1708,112,474,174,362,True
,meadow,1094224869,170.0,True,OSM-1094224869,9147.7,1690,5430.1,2045,0.0,1,4.2,139,1551,1906,138,355,True
,meadow,1094224870,20.9,True,OSM-1094224870,9719.3,1740,5802.3,2089,0.0,1,4.2,139,1601,1950,138,349,True
,meadow,1094224871,564.2,True,OSM-1094224871,7992.1,1579,3380.9,1691,0.0,1,7.0,395,1184,1296,394,112,False
,meadow,1094224872,35.8,True,OSM-1094224872,10693.8,1836,6826.7,2180,0.0,1,7.9,553,1283,1627,552,344,True
,meadow,1094224873,32.1,True,OSM-1094224873,11641.5,1919,7824.6,2239,404.2,2024,996.2,2315,396,76,291,320,True
,meadow,1094224874,61.5,True,OSM-1094224874,11455.2,1906,7540.8,2227,101.9,1729,721.4,2267,361,40,538,321,True
,meadow,1094224875,43.3,True,OSM-1094224875,10744.5,1840,6688.8,2172,12.6,1172,8.8,769,1071,1403,403,332,True
,meadow,1094244671,37.1,True,OSM-1094244671,3159.8,886,3.3,200,3.6,924,10.9,1370,484,1170,446,686,False
,meadow,1094244672,166.1,True,OSM-1094244672,2656.0,768,18.2,377,0.0,1,5.5,221,547,156,220,391,False
,meadow,1094244673,47.9,True,OSM-1094244673,4682.0,1147,0.0,1,0.0,1,8.3,663,484,662,662,1146,False
,meadow,1094244674,80.9,True,OSM-1094244674,4799.0,1169,20.0,423,1.5,663,9.3,926,243,503,263,746,False
,meadow,1094244676,41.2,True,OSM-1094244676,4692.7,1152,63.5,484,2.9,864,11.5,1488,336,1004,624,668,False
,meadow,1094244678,39.3,True,OSM-1094244678,4001.2,1043,14.4,307,22.4,1545,6.9,379,664,72,1166,736,False
,meadow,1094244679,24.8,True,OSM-1094244679,3608.4,979,13.8,303,358.6,1979,6.2,288,691,15,1691,676,False
,meadow,1094248096,27.2,True,OSM-1094248096,2335.0,684,16.4,331,3.2,889,9.0,835,151,504,54,353,False
,meadow,1094248097,35.1,True,OSM-1094248097,2411.3,700,288.2,545,263.1,1903,281.3,2030,1330,1485,127,155,False
,meadow,1094248098,83.6,True,OSM-1094248098,2822.1,807,19.9,421,317.5,1950,11.1,1407,600,986,543,386,False
,meadow,1094248099,57.9,True,OSM-1094248099,2747.5,788,18.9,400,516.6,2097,9.6,1011,223,611,1086,388,False
,meadow,1094248101,236.1,True,OSM-1094248101,1955.2,612,17.4,358,551.0,2122,8.9,802,190,444,1320,254,False
,meadow,1094248103,25.4,True,OSM-1094248103,4312.6,1088,0.9,108,18.5,1385,7.2,434,654,326,951,980,False
,meadow,1094248104,24.1,True,OSM-1094248104,4210.2,1072,0.0,1,123.6,1768,8.2,634,438,633,1134,1071,False
,meadow,1094248105,24.1,True,OSM-1094248105,4701.7,1154,491.8,631,25.7,1579,15.7,1783,629,1152,204,523,False
,meadow,1094248108,37.8,True,OSM-1094248108,4328.2,1093,120.6,498,277.0,1919,129.1,1926,833,1428,7,595,False
,meadow,1094248113,45.3,True,OSM-1094248113,5196.3,1237,1146.8,952,3.7,933,13.4,1687,450,735,754,285,False
,meadow,1094248114,23.1,True,OSM-1094248114,5215.9,1242,1087.2,928,128.8,1776,140.2,1936,694,1008,160,314,False
,meadow,1094248116,45.0,True,OSM-1094248116,5229.5,1244,967.4,880,192.4,1842,203.3,1975,731,1095,133,364,False
,meadow,1094248117,23.4,True,OSM-1094248117,5256.0,1250,903.4,858,318.6,1951,328.6,2054,804,1196,103,392,False
,meadow,1094248118,21.8,True,OSM-1094248118,4864.2,1179,482.5,628,1.2,630,12.7,1635,456,1007,1005,551,False
,meadow,1094248120,99.9,True,OSM-1094248120,4872.8,1181,447.7,610,63.7,1664,23.9,1850,669,1240,186,571,False
,meadow,1094248121,33.5,True,OSM-1094248121,5340.4,1260,781.7,790,3.6,924,15.1,1765,505,975,841,470,False
,meadow,1094248122,29.1,True,OSM-1094248122,5893.3,1359,1270.6,1008,18.7,1398,9.5,985,374,23,413,351,False
,meadow,1094248123,29.8,True,OSM-1094248123,6305.7,1419,1901.8,1256,653.4,2177,644.7,2233,814,977,56,163,False
,meadow,1094248124,31.4,True,OSM-1094248124,6786.0,1463,2384.7,1410,633.4,2166,624.3,2217,754,807,51,53,False
,meadow,1094248125,29.3,True,OSM-1094248125,7299.0,1508,2903.1,1560,260.5,1899,269.6,2021,513,461,122,52,False
,meadow,1094248127,325.6,True,OSM-1094248127,5876.6,1358,1543.7,1109,0.0,1,7.9,553,805,556,552,249,False
,meadow,1094248129,23.4,True,OSM-1094248129,5851.6,1347,1812.7,1214,0.5,545,9.2,886,461,328,341,133,False
,meadow,1094248130,24.8,True,OSM-1094248130,5868.5,1355,1729.2,1195,448.7,2056,597.0,2203,848,1008,147,160,False
,meadow,1094249441,46.3,True,OSM-1094249441,8438.6,1624,4266.2,1873,542.2,2116,534.3,2167,543,294,51,249,False
,meadow,1094249442,25.0,True,OSM-1094249442,9412.8,1714,5248.4,2014,663.6,2180,657.5,2243,529,229,63,300,True
,meadow,1094249445,48.2,True,OSM-1094249445,8762.3,1654,4647.6,1935,375.5,1993,7.3,443,1211,1492,1550,281,False
,meadow,1094249446,34.2,True,OSM-1094249446,8185.4,1593,4181.8,1860,415.7,2031,8.6,716,877,1144,1315,267,False
,meadow,1094249447,34.3,True,OSM-1094249447,7794.8,1559,3773.8,1779,17.1,1290,8.1,608,951,1171,682,220,False
,meadow,1094249449,39.9,True,OSM-1094249449,8505.2,1631,4633.6,1931,359.3,1980,7.4,459,1172,1472,1521,300,False
,meadow,1094249453,125.8,True,OSM-1094249453,7655.3,1549,3841.5,1793,17.9,1343,8.6,716,833,1077,627,244,False
,meadow,1094249454,35.1,True,OSM-1094249454,8427.4,1621,4907.4,1969,918.6,2266,929.7,2309,688,340,43,348,False
,meadow,1094249455,41.4,True,OSM-1094249455,7471.6,1530,3915.7,1810,9.0,1113,8.6,716,814,1094,397,280,False
,meadow,1094249456,45.0,True,OSM-1094249456,7544.9,1540,3863.0,1800,3.8,943,9.2,886,654,914,57,260,False
,meadow,1094264330,23.2,True,OSM-1094264330,10927.2,1855,7299.8,2214,101.5,1728,456.0,2125,270,89,397,359,True
,meadow,1094264331,54.5,True,OSM-1094264331,10425.6,1804,6806.9,2179,0.0,1,8.0,584,1220,1595,583,375,True
,meadow,1094264334,26.0,True,OSM-1094264334,9461.1,1720,5918.9,2104,1.9,727,10.5,1273,447,831,546,384,True
,meadow,1094264335,20.2,True,OSM-1094264335,8968.8,1672,5415.7,2041,735.7,2211,744.4,2274,602,233,63,369,True
,meadow,1094264339,88.5,True,OSM-1094264339,8785.1,1656,5435.8,2046,2.2,771,12.2,1580,76,466,809,390,True
,meadow,1094264340,44.6,True,OSM-1094264340,8287.5,1606,4936.0,1976,1.5,663,12.7,1635,29,341,972,370,False
,meadow,1094264343,26.4,True,OSM-1094264343,7807.0,1560,4436.7,1898,112.5,1749,124.1,1922,362,24,173,338,False
,meadow,1094264345,35.2,True,OSM-1094264345,7306.9,1510,3948.0,1818,98.9,1724,9.7,1039,471,779,685,308,False
,meadow,1094264347,103.3,True,OSM-1094264347,6489.9,1440,3138.8,1622,17.9,1343,7.5,475,965,1147,868,182,False
,meadow,1094264348,63.2,True,OSM-1094264348,5690.6,1322,2343.9,1390,15.0,1212,7.7,517,805,873,695,68,False
,meadow,1094264349,368.7,True,OSM-1094264349,6116.1,1395,2346.3,1394,0.2,509,9.1,863,532,531,354,1,False
,meadow,1094264350,69.9,True,OSM-1094264350,5217.3,1243,1855.4,1227,0.0,1,8.7,747,496,480,746,16,False
,meadow,1094264351,291.1,True,OSM-1094264351,5075.7,1213,1305.7,1022,17.2,1302,9.7,1039,174,17,263,191,False
,meadow,1094264352,39.7,True,OSM-1094264352,4660.6,1143,1186.7,973,61.8,1661,523.5,2158,1015,1185,497,170,False
,meadow,1094264353,52.4,True,OSM-1094264353,3455.9,956,88.1,493,37.1,1610,97.7,1908,952,1415,298,463,False
,meadow,1094264358,21.5,True,OSM-1094264358,3776.6,1005,423.4,602,1.2,630,8.7,747,258,145,117,403,False
,meadow,1094264360,21.1,True,OSM-1094264360,4420.2,1104,1063.3,916,0.8,581,9.5,985,119,69,404,188,False
,meadow,1094264361,20.4,True,OSM-1094264361,4809.8,1173,1450.5,1074,0.0,1,6.8,367,806,707,366,99,False
,meadow,1094264362,40.1,True,OSM-1094264362,5172.0,1233,1828.0,1218,2.6,832,10.1,1149,84,69,317,15,False
,meadow,1094264364,27.8,True,OSM-1094264364,4664.9,1144,1323.1,1032,19.6,1440,11.1,1407,263,375,33,112,False
,meadow,1094264365,94.0,True,OSM-1094264365,3350.2,921,12.0,292,0.0,1,8.9,802,119,510,801,629,False
,meadow,1094264366,119.2,True,OSM-1094264366,3831.0,1018,519.4,641,0.0,1,12.7,1635,617,994,1634,377,False
,meadow,1094264367,59.6,True,OSM-1094264367,4883.4,1184,1566.5,1122,0.0,1,16.9,1799,615,677,1798,62,False
