site_id,dem_tile,dem_tiles_used,slope_samples,mean_slope_deg,p90_slope_deg
OSM-1094443262,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,2848,0.488,0.696
OSM-1094443263,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,2232,0.398,0.642
OSM-1094444574,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S44_00_E172_00_DEM,2,1600,0.581,0.997
OSM-1094444576,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,727,1.457,3.292
OSM-1094444577,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S44_00_E172_00_DEM,2,1133,1.122,2.226
OSM-1094444578,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S44_00_E172_00_DEM,2,760,0.855,1.27
OSM-1094444579,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1915,0.7,1.188
OSM-1094444581,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,347,0.917,2.086
OSM-1094444582,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,365,0.645,1.093
OSM-1094444584,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,521,0.538,0.906
OSM-1094444585,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,520,0.483,0.807
OSM-1094444588,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,612,0.875,1.247
OSM-1094444593,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S44_00_E172_00_DEM,2,531,0.718,1.275
OSM-1094444594,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S44_00_E172_00_DEM,2,546,0.7,1.142
OSM-1094444597,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S44_00_E172_00_DEM,2,428,0.71,1.221
OSM-1094444598,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,410,1.293,3.409
OSM-1094445575,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,513,0.465,0.773
OSM-1094445576,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,512,0.604,1.061
OSM-1094445577,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,884,0.894,1.381
OSM-1094445578,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,907,0.519,0.917
OSM-1094445579,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1030,0.59,1.013
OSM-1094445580,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,885,0.899,1.274
OSM-1094445581,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,354,0.808,1.241
OSM-1094445582,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1097,0.673,1.162
OSM-1094445586,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1540,0.897,1.308
OSM-1094445587,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,866,0.803,1.487
OSM-1094445588,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,565,0.727,1.181
OSM-1094445589,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,480,0.616,1.09
OSM-1094445590,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,555,0.655,1.088
OSM-1094445591,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,827,0.687,1.198
OSM-1094465326,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1235,0.966,1.588
OSM-1094465327,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1158,1.215,1.623
OSM-1094465328,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,643,0.67,1.077
OSM-1094465332,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,964,0.757,1.348
OSM-1094465333,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,616,1.023,1.641
OSM-1094465334,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,526,1.217,2.416
OSM-1094465343,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,414,1.277,3.018
OSM-1094465345,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,351,1.037,2.23
OSM-1094465349,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,443,0.606,1.036
OSM-1094465350,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,2358,0.736,1.358
OSM-1094465351,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,516,0.665,1.189
OSM-1094465352,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,583,1.02,1.716
OSM-1094465353,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,563,0.831,1.492
OSM-1094465356,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1449,0.91,1.372
OSM-1094465358,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,428,0.706,1.231
OSM-1094465359,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,893,0.641,1.169
OSM-1094465360,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,699,0.964,1.692
OSM-1094465364,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,6032,1.042,1.885
OSM-1094465365,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1446,1.426,2.667
OSM-1094465367,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,419,1.224,3.045
OSM-1094471377,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,436,0.629,1.057
OSM-1094490906,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,955,0.691,1.253
OSM-1094490914,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,423,0.455,0.703
OSM-1094490915,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,449,0.509,0.849
OSM-1094490916,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,902,0.544,0.917
OSM-1094490917,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,744,0.469,0.793
OSM-1094490918,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1274,0.533,0.877
OSM-1094490919,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,442,0.491,0.792
OSM-1094490920,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1141,0.467,0.747
OSM-1094490921,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,435,0.8,1.42
OSM-1094490922,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,731,0.727,1.102
OSM-1094490924,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,2267,0.717,1.021
OSM-1094490926,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,392,0.464,0.765
OSM-1094490927,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,692,0.471,0.794
OSM-1094490930,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,838,0.792,0.989
OSM-1094490931,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,439,1.012,2.15
OSM-1094490932,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1708,0.841,1.407
OSM-1094490933,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,480,0.637,1.1
OSM-1094490936,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,389,0.452,0.72
OSM-1094490937,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1427,0.546,0.875
OSM-1094490938,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,2139,0.753,0.989
OSM-1094490939,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,3259,1.021,2.518
OSM-1094492279,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,750,0.579,0.962
OSM-1094492280,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,420,0.463,0.745
OSM-1094494322,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,499,1.168,2.126
OSM-1094494323,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,3979,0.508,0.773
OSM-1094494326,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,756,0.523,0.825
OSM-1094494327,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,966,0.548,0.85
OSM-1094494328,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1582,0.493,0.785
OSM-1094494329,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,919,0.48,0.769
OSM-1094494330,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,870,0.52,0.838
OSM-1094494331,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,662,0.423,0.629
OSM-1094494332,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,701,0.49,0.806
OSM-1094494333,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,882,0.522,0.851
OSM-1094494334,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1607,0.446,0.688
OSM-1094494335,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1174,0.741,1.116
OSM-1094494336,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1162,0.605,0.86
OSM-1094494337,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,3653,0.564,0.872
OSM-1094494338,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,2101,0.475,0.745
OSM-1094511466,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1300,0.854,1.831
OSM-1094511467,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,390,1.562,3.568
OSM-1094511468,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,955,0.446,0.708
OSM-1094511882,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1134,0.518,0.824
OSM-1094511883,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1692,0.505,0.798
OSM-1094511884,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,457,0.47,0.8
OSM-1094512224,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,338,0.547,0.927
OSM-1094512225,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,880,0.624,1.012
OSM-1094512226,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1385,0.495,0.787
OSM-1094512227,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,2492,0.454,0.7
OSM-1094512619,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,755,0.543,0.938
OSM-1094512620,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S44_00_E172_00_DEM,2,3590,0.705,0.923
OSM-1094513243,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S44_00_E172_00_DEM,2,2430,1.144,2.116
OSM-1094514395,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,945,0.512,0.855
OSM-1094514399,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,386,0.693,1.07
OSM-1094514400,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,848,0.591,0.825
OSM-1094514401,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S44_00_E172_00_DEM,2,1951,0.663,0.964
OSM-1094514402,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S44_00_E172_00_DEM,2,978,0.635,1.064
OSM-1094514403,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S44_00_E172_00_DEM,2,1620,0.712,1.254
OSM-1094514404,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,646,0.763,1.386
OSM-1094514405,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,566,1.064,1.489
OSM-1094514406,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,2104,0.911,1.497
OSM-1094514407,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1062,0.851,1.652
OSM-1094514408,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1340,0.9,1.665
OSM-1094514409,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1359,0.819,1.406
OSM-1094514410,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S44_00_E172_00_DEM,2,1290,0.835,1.306
OSM-1094515098,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,426,0.534,0.845
OSM-1094515099,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1629,0.563,0.954
OSM-1094515100,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,4914,0.6,0.974
OSM-1094550089,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S44_00_E172_00_DEM,2,7153,0.731,1.086
OSM-1094550093,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,395,1.227,2.75
OSM-1094550094,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,3680,0.977,1.908
OSM-1094550095,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,6909,0.89,1.511
OSM-1094550096,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1851,0.752,1.375
OSM-1094550097,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1530,0.861,1.581
OSM-1094550098,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,927,1.009,1.973
OSM-1094550099,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1007,0.938,2.152
OSM-1094550102,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1754,0.834,1.374
OSM-1094550103,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,522,0.697,1.16
OSM-1094550104,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,384,0.984,2.084
OSM-1094550105,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,345,1.516,3.609
OSM-1094550107,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,928,1.546,4.583
OSM-1094552451,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1386,1.215,2.829
OSM-1094552452,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,2266,0.829,1.403
OSM-1094552454,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1480,1.291,2.754
OSM-1094552459,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,432,0.876,1.345
OSM-1094552463,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,978,2.028,4.124
OSM-1094552464,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,534,1.568,2.347
OSM-1094552465,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,444,1.782,4.796
OSM-1094552466,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,688,1.823,4.749
OSM-1094556441,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,836,1.478,3.795
OSM-1094556442,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,844,1.011,1.483
OSM-1094556444,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,404,0.829,1.471
OSM-1094556445,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,448,1.666,3.932
OSM-1094556448,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,370,2.389,6.997
OSM-1094557932,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,779,0.619,1.073
OSM-1094557933,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1051,0.771,1.307
OSM-1094557934,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,2122,0.925,1.786
OSM-1094557935,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1149,0.752,1.368
OSM-1094557936,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,394,0.631,1.078
OSM-1094557937,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,783,0.736,1.257
OSM-1094557938,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1125,0.873,1.448
OSM-1094557941,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,625,0.646,1.173
OSM-1094557942,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1839,0.746,1.337
OSM-1094557943,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,963,0.652,1.146
OSM-1094557944,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,738,0.905,1.375
OSM-1094576639,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1275,0.528,0.845
OSM-1094576641,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,2621,0.509,0.807
OSM-1094576642,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,2529,0.495,0.776
OSM-1094576643,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,983,0.465,0.69
OSM-1094576644,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1151,0.705,1.337
OSM-1094576645,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,468,0.578,0.955
OSM-1094576646,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,518,0.602,0.999
OSM-1094576647,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,489,0.551,0.909
OSM-1094576648,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,482,0.582,0.952
OSM-1094576649,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1646,0.568,0.915
OSM-1094578712,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,585,0.674,0.881
OSM-1094578713,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,435,0.555,0.959
OSM-1094578714,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1905,0.571,0.932
OSM-1094578715,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,953,0.591,0.916
OSM-1094578720,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,422,0.834,1.277
OSM-1094578722,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,767,1.022,2.569
OSM-1094578723,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,3134,0.732,1.191
OSM-1094578724,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,939,0.516,0.761
OSM-1094578725,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,5652,0.536,0.821
OSM-1094591696,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,364,0.885,1.649
OSM-1094591704,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S44_00_E172_00_DEM,2,1337,0.81,1.803
OSM-1094591705,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,361,0.672,1.177
OSM-1094591708,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,908,0.933,1.755
OSM-1094591709,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1587,0.673,1.077
OSM-1094591710,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1344,0.609,0.975
OSM-1094591711,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1041,0.629,1.132
OSM-1094591714,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1191,0.496,0.794
OSM-1094591715,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,2874,0.806,1.466
OSM-1094591716,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,439,0.564,0.987
OSM-1094591717,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1814,0.69,1.078
OSM-1094591719,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,364,1.349,3.64
OSM-1094591720,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,373,2.909,7.647
OSM-1094591721,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,684,0.986,2.026
OSM-1094591724,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1089,0.623,0.914
OSM-1094591725,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,807,2.227,7.88
OSM-1094591730,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,742,0.581,0.907
OSM-1094592327,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,2413,0.868,1.824
OSM-1094592328,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,409,0.927,1.934
OSM-1094592329,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,496,0.577,0.979
OSM-1094644687,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1676,1.446,3.284
OSM-1094644688,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,730,0.599,1.024
OSM-1094644689,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S44_00_E172_00_DEM,2,1093,0.846,1.447
OSM-1094644690,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,822,0.586,0.992
OSM-1094644691,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,708,0.859,1.418
OSM-1094644695,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1709,0.662,1.139
OSM-1094644696,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1362,0.827,1.471
OSM-1094644697,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1137,0.792,1.347
OSM-1094644698,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1987,1.552,3.27
OSM-1094644699,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,5311,1.117,2.502
OSM-1094644703,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,4091,1.119,1.947
OSM-1094644707,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1235,1.291,3.571
OSM-1094644708,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,660,1.546,5.03
OSM-1094644713,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,672,1.064,2.22
OSM-1094644714,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1687,0.827,1.455
OSM-1094713839,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1240,0.7,1.283
OSM-1094713840,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,5494,0.787,1.43
OSM-1094713842,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,3172,0.677,1.182
OSM-1094713843,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1389,0.728,1.251
OSM-1094714402,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,589,0.904,1.535
OSM-1094715089,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1952,0.689,1.303
OSM-1094715090,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,2013,0.699,1.214
OSM-1094715480,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1125,0.818,1.244
OSM-1094721145,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,978,0.721,1.378
OSM-1094721146,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,618,0.635,1.108
OSM-1094721147,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,543,0.681,1.227
OSM-1094721148,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,378,0.759,1.422
OSM-1094721149,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,638,1.037,1.931
OSM-1094721150,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,529,2.14,5.646
OSM-1094721151,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1924,0.775,1.332
OSM-1094721153,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,2484,0.775,1.365
OSM-1094721156,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1020,0.549,0.96
OSM-1094721157,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,435,1.288,2.629
OSM-1094721901,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,383,2.822,9.675
OSM-1094721902,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,628,1.503,3.194
OSM-1094721903,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,576,4.917,12.459
OSM-1094722626,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1616,0.645,1.159
OSM-1094722627,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1217,0.744,1.303
OSM-1094722628,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,984,0.686,1.263
OSM-1094722629,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,692,0.755,1.469
OSM-1094722630,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,768,1.443,3.597
OSM-1094722631,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,2482,0.792,1.336
OSM-1094729470,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1294,0.722,1.152
OSM-1094729471,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1417,0.7,1.282
OSM-1094729472,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,629,0.554,0.958
OSM-1094729473,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1170,0.663,1.178
OSM-1094729474,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1185,0.74,1.231
OSM-1094729475,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1185,0.656,1.129
OSM-1094729476,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,665,0.818,1.633
OSM-1094729478,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,2685,0.731,1.31
OSM-1094729480,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,982,0.687,1.178
OSM-1094729481,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,717,0.82,1.382
OSM-1094729482,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,393,0.664,1.11
OSM-1094729714,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1143,1.399,2.421
OSM-1094729715,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1306,0.825,1.371
OSM-1094730160,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1876,1.154,1.97
OSM-1094730161,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1422,0.74,1.306
OSM-1094730162,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1230,0.827,1.583
OSM-1094730163,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1374,1.54,4.219
OSM-1094730164,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1066,0.834,1.515
OSM-1094730165,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1124,0.797,1.376
OSM-1094730999,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,5941,1.773,4.613
OSM-1094731000,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1254,1.042,2.154
OSM-1094731669,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,7690,0.788,1.328
OSM-1094745157,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,5041,0.801,1.323
OSM-1094745158,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,2579,1.045,2.042
OSM-1094745159,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,461,0.836,1.253
OSM-1094745160,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,3226,0.893,1.525
OSM-1094745161,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,466,0.738,1.32
OSM-1094745162,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,1313,0.723,1.219
OSM-1094745163,Copernicus_DSM_COG_10_S44_00_E172_00_DEM,1,450,1.111,1.685
OSM-1094745165,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S44_00_E172_00_DEM,2,1962,0.601,1.059
