site_id,dem_tile,dem_tiles_used,slope_samples,mean_slope_deg,p90_slope_deg
OSM-1093959735,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,547,0.514,0.842
OSM-1093992747,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,3003,0.548,0.91
OSM-1093992748,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1948,0.569,0.895
OSM-1093992749,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1721,0.48,0.778
OSM-1093992750,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,2037,0.621,1.115
OSM-1093992751,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,400,0.9,2.207
OSM-1093992752,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1828,0.504,0.809
OSM-1093992753,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,482,0.456,0.699
OSM-1093992754,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1321,0.528,0.825
OSM-1093992755,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,2305,0.562,0.891
OSM-1093992756,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,436,0.683,1.562
OSM-1093992757,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1491,0.574,0.887
OSM-1093992758,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,506,0.595,0.981
OSM-1093992759,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,2736,0.586,0.939
OSM-1094103138,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,735,0.688,1.222
OSM-1094103139,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,773,0.571,0.929
OSM-1094103141,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,3638,0.518,0.844
OSM-1094103142,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,436,0.616,1.075
OSM-1094103144,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1566,0.527,0.846
OSM-1094103145,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,3335,0.71,0.974
OSM-1094103146,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,2040,1.181,2.209
OSM-1094103147,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,4265,0.649,1.012
OSM-1094103148,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,2485,0.79,1.311
OSM-1094103152,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,487,0.575,1.026
OSM-1094103153,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1230,0.673,0.916
OSM-1094103154,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1125,0.633,1.185
OSM-1094103155,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,373,0.702,1.05
OSM-1094111826,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,3127,0.838,1.293
OSM-1094111832,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,368,0.679,1.226
OSM-1094111833,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,3144,0.796,1.219
OSM-1094111834,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,924,0.556,0.945
OSM-1094111835,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1773,0.517,0.824
OSM-1094111836,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,580,0.461,0.735
OSM-1094111837,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,690,0.5,0.795
OSM-1094111838,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,785,0.482,0.747
OSM-1094111839,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,5265,0.611,0.976
OSM-1094112700,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,8388,0.584,0.939
OSM-1094112702,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,435,0.528,0.843
OSM-1094112704,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,2389,0.594,1.016
OSM-1094113431,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,823,0.752,1.547
